DateTime,Accessories - Android Users - Number Of Events,Augmented Reality - Android Users - Number Of Events,Dealer Locator - Android Users - Number Of Events,In Case of Emergency - Android Users - Number Of Events,Quick Reference Guide - Android Users - Number Of Events,Tutorial - Android Users - Number Of Events,Warning Light - Android Users - Number Of Events,Warning Message - Android Users - Number Of Events
2/1/2021,4,1,,2,7,1,4,3
2/2/2021,1,1,2,1,2,0,1,1
2/3/2021,0,0,0,0,0,0,0,0
2/4/2021,4,8,8,2,6,6,4,2
2/5/2021,0,2,0,0,1,0,2,1
2/6/2021,0,0,0,0,0,0,0,0
2/7/2021,3,2,3,2,3,1,3,2
2/8/2021,3,8,5,1,4,0,4,4
2/9/2021,2,3,1,4,5,1,4,4
2/10/2021,4,0,3,2,6,0,5,5
2/11/2021,2,3,2,0,0,1,5,0
2/12/2021,0,3,0,0,1,0,0,0
2/13/2021,2,1,1,3,1,0,2,2
2/14/2021,0,2,1,1,2,1,2,2
2/15/2021,4,3,0,1,1,3,6,5
2/16/2021,3,1,2,3,2,1,8,3
2/17/2021,0,0,0,0,3,0,0,0
2/18/2021,7,10,6,2,11,0,11,5
2/19/2021,0,1,0,1,3,1,1,0
2/20/2021,1,0,1,1,4,3,3,3
2/21/2021,0,1,1,0,4,1,2,1
2/22/2021,6,10,4,4,6,2,8,9
2/23/2021,2,2,2,1,4,0,2,1
2/24/2021,1,13,1,2,7,0,3,5
2/25/2021,5,5,5,1,8,3,6,4
2/26/2021,0,0,0,0,3,1,1,0
2/27/2021,4,3,1,3,2,,4,4
2/28/2021,3,1,,2,4,,5,3